c,cc
http://www.wikidata.org/entity/Q228,AD
http://www.wikidata.org/entity/Q878,AE
http://www.wikidata.org/entity/Q889,AF
http://www.wikidata.org/entity/Q781,AG
http://www.wikidata.org/entity/Q222,AL
http://www.wikidata.org/entity/Q399,AM
http://www.wikidata.org/entity/Q916,AO
http://www.wikidata.org/entity/Q414,AR
http://www.wikidata.org/entity/Q40,AT
http://www.wikidata.org/entity/Q408,AU
http://www.wikidata.org/entity/Q21203,AW
http://www.wikidata.org/entity/Q227,AZ
http://www.wikidata.org/entity/Q225,BA
http://www.wikidata.org/entity/Q244,BB
http://www.wikidata.org/entity/Q902,BD
http://www.wikidata.org/entity/Q31,BE
http://www.wikidata.org/entity/Q965,BF
http://www.wikidata.org/entity/Q219,BG
http://www.wikidata.org/entity/Q398,BH
http://www.wikidata.org/entity/Q967,BI
http://www.wikidata.org/entity/Q962,BJ
http://www.wikidata.org/entity/Q921,BN
http://www.wikidata.org/entity/Q750,BO
http://www.wikidata.org/entity/Q155,BR
http://www.wikidata.org/entity/Q778,BS
http://www.wikidata.org/entity/Q917,BT
http://www.wikidata.org/entity/Q963,BW
http://www.wikidata.org/entity/Q184,BY
http://www.wikidata.org/entity/Q242,BZ
http://www.wikidata.org/entity/Q16,CA
http://www.wikidata.org/entity/Q974,CD
http://www.wikidata.org/entity/Q929,CF
http://www.wikidata.org/entity/Q971,CG
http://www.wikidata.org/entity/Q39,CH
http://www.wikidata.org/entity/Q1008,CI
http://www.wikidata.org/entity/Q26988,CK
http://www.wikidata.org/entity/Q298,CL
http://www.wikidata.org/entity/Q1009,CM
http://www.wikidata.org/entity/Q148,CN
http://www.wikidata.org/entity/Q739,CO
http://www.wikidata.org/entity/Q800,CR
http://www.wikidata.org/entity/Q241,CU
http://www.wikidata.org/entity/Q1011,CV
http://www.wikidata.org/entity/Q25279,CW
http://www.wikidata.org/entity/Q229,CY
http://www.wikidata.org/entity/Q213,CZ
http://www.wikidata.org/entity/Q183,DE
http://www.wikidata.org/entity/Q977,DJ
http://www.wikidata.org/entity/Q35,DK
http://www.wikidata.org/entity/Q784,DM
http://www.wikidata.org/entity/Q786,DO
http://www.wikidata.org/entity/Q262,DZ
http://www.wikidata.org/entity/Q736,EC
http://www.wikidata.org/entity/Q191,EE
http://www.wikidata.org/entity/Q79,EG
http://www.wikidata.org/entity/Q986,ER
http://www.wikidata.org/entity/Q29,ES
http://www.wikidata.org/entity/Q115,ET
http://www.wikidata.org/entity/Q33,FI
http://www.wikidata.org/entity/Q712,FJ
http://www.wikidata.org/entity/Q702,FM
http://www.wikidata.org/entity/Q142,FR
http://www.wikidata.org/entity/Q1000,GA
http://www.wikidata.org/entity/Q145,GB
http://www.wikidata.org/entity/Q769,GD
http://www.wikidata.org/entity/Q230,GE
http://www.wikidata.org/entity/Q117,GH
http://www.wikidata.org/entity/Q223,GL
http://www.wikidata.org/entity/Q1005,GM
http://www.wikidata.org/entity/Q1006,GN
http://www.wikidata.org/entity/Q983,GQ
http://www.wikidata.org/entity/Q41,GR
http://www.wikidata.org/entity/Q774,GT
http://www.wikidata.org/entity/Q1007,GW
http://www.wikidata.org/entity/Q734,GY
http://www.wikidata.org/entity/Q783,HN
http://www.wikidata.org/entity/Q224,HR
http://www.wikidata.org/entity/Q790,HT
http://www.wikidata.org/entity/Q28,HU
http://www.wikidata.org/entity/Q252,ID
http://www.wikidata.org/entity/Q27,IE
http://www.wikidata.org/entity/Q801,IL
http://www.wikidata.org/entity/Q668,IN
http://www.wikidata.org/entity/Q796,IQ
http://www.wikidata.org/entity/Q794,IR
http://www.wikidata.org/entity/Q189,IS
http://www.wikidata.org/entity/Q38,IT
http://www.wikidata.org/entity/Q766,JM
http://www.wikidata.org/entity/Q810,JO
http://www.wikidata.org/entity/Q17,JP
http://www.wikidata.org/entity/Q114,KE
http://www.wikidata.org/entity/Q813,KG
http://www.wikidata.org/entity/Q424,KH
http://www.wikidata.org/entity/Q710,KI
http://www.wikidata.org/entity/Q970,KM
http://www.wikidata.org/entity/Q763,KN
http://www.wikidata.org/entity/Q423,KP
http://www.wikidata.org/entity/Q884,KR
http://www.wikidata.org/entity/Q817,KW
http://www.wikidata.org/entity/Q232,KZ
http://www.wikidata.org/entity/Q819,LA
http://www.wikidata.org/entity/Q822,LB
http://www.wikidata.org/entity/Q760,LC
http://www.wikidata.org/entity/Q347,LI
http://www.wikidata.org/entity/Q854,LK
http://www.wikidata.org/entity/Q1014,LR
http://www.wikidata.org/entity/Q1013,LS
http://www.wikidata.org/entity/Q37,LT
http://www.wikidata.org/entity/Q32,LU
http://www.wikidata.org/entity/Q211,LV
http://www.wikidata.org/entity/Q1016,LY
http://www.wikidata.org/entity/Q1028,MA
http://www.wikidata.org/entity/Q235,MC
http://www.wikidata.org/entity/Q217,MD
http://www.wikidata.org/entity/Q236,ME
http://www.wikidata.org/entity/Q1019,MG
http://www.wikidata.org/entity/Q709,MH
http://www.wikidata.org/entity/Q221,MK
http://www.wikidata.org/entity/Q912,ML
http://www.wikidata.org/entity/Q836,MM
http://www.wikidata.org/entity/Q711,MN
http://www.wikidata.org/entity/Q1025,MR
http://www.wikidata.org/entity/Q233,MT
http://www.wikidata.org/entity/Q1027,MU
http://www.wikidata.org/entity/Q826,MV
http://www.wikidata.org/entity/Q1020,MW
http://www.wikidata.org/entity/Q96,MX
http://www.wikidata.org/entity/Q833,MY
http://www.wikidata.org/entity/Q1029,MZ
http://www.wikidata.org/entity/Q1030,NA
http://www.wikidata.org/entity/Q1032,NE
http://www.wikidata.org/entity/Q1033,NG
http://www.wikidata.org/entity/Q811,NI
http://www.wikidata.org/entity/Q29999,NL
http://www.wikidata.org/entity/Q20,NO
http://www.wikidata.org/entity/Q837,NP
http://www.wikidata.org/entity/Q697,NR
http://www.wikidata.org/entity/Q34020,NU
http://www.wikidata.org/entity/Q664,NZ
http://www.wikidata.org/entity/Q842,OM
http://www.wikidata.org/entity/Q804,PA
http://www.wikidata.org/entity/Q419,PE
http://www.wikidata.org/entity/Q691,PG
http://www.wikidata.org/entity/Q928,PH
http://www.wikidata.org/entity/Q843,PK
http://www.wikidata.org/entity/Q36,PL
http://www.wikidata.org/entity/Q219060,PS
http://www.wikidata.org/entity/Q45,PT
http://www.wikidata.org/entity/Q695,PW
http://www.wikidata.org/entity/Q733,PY
http://www.wikidata.org/entity/Q846,QA
http://www.wikidata.org/entity/Q218,RO
http://www.wikidata.org/entity/Q403,RS
http://www.wikidata.org/entity/Q159,RU
http://www.wikidata.org/entity/Q1037,RW
http://www.wikidata.org/entity/Q851,SA
http://www.wikidata.org/entity/Q685,SB
http://www.wikidata.org/entity/Q1042,SC
http://www.wikidata.org/entity/Q1049,SD
http://www.wikidata.org/entity/Q34,SE
http://www.wikidata.org/entity/Q334,SG
http://www.wikidata.org/entity/Q215,SI
http://www.wikidata.org/entity/Q214,SK
http://www.wikidata.org/entity/Q1044,SL
http://www.wikidata.org/entity/Q238,SM
http://www.wikidata.org/entity/Q1041,SN
http://www.wikidata.org/entity/Q1045,SO
http://www.wikidata.org/entity/Q730,SR
http://www.wikidata.org/entity/Q958,SS
http://www.wikidata.org/entity/Q1039,ST
http://www.wikidata.org/entity/Q792,SV
http://www.wikidata.org/entity/Q26273,SX
http://www.wikidata.org/entity/Q858,SY
http://www.wikidata.org/entity/Q1050,SZ
http://www.wikidata.org/entity/Q657,TD
http://www.wikidata.org/entity/Q945,TG
http://www.wikidata.org/entity/Q869,TH
http://www.wikidata.org/entity/Q863,TJ
http://www.wikidata.org/entity/Q574,TL
http://www.wikidata.org/entity/Q874,TM
http://www.wikidata.org/entity/Q948,TN
http://www.wikidata.org/entity/Q678,TO
http://www.wikidata.org/entity/Q43,TR
http://www.wikidata.org/entity/Q754,TT
http://www.wikidata.org/entity/Q672,TV
http://www.wikidata.org/entity/Q865,TW
http://www.wikidata.org/entity/Q924,TZ
http://www.wikidata.org/entity/Q212,UA
http://www.wikidata.org/entity/Q1036,UG
http://www.wikidata.org/entity/Q30,US
http://www.wikidata.org/entity/Q77,UY
http://www.wikidata.org/entity/Q265,UZ
http://www.wikidata.org/entity/Q237,VA
http://www.wikidata.org/entity/Q757,VC
http://www.wikidata.org/entity/Q717,VE
http://www.wikidata.org/entity/Q881,VN
